Datetime,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved
2018-08-28 11:07 PM,Mandaluyong,EDSA BONI,14.574014000000002,121.04841,SB,ACCIDENT,1.0,BUS AND CAR
2018-08-28 11:07 PM,Quezon City,COMMONWEALTH LUZON,14.66533,121.070469,EB,ACCIDENT,1.0,MC AND CAR
2018-08-28 5:37 AM,Quezon City,C.P GARCIA KATIPUNAN,14.648274,121.074353,NB,ACCIDENT,1.0,TRUCK AND TAXI
2018-08-28 6:30 AM,Mandaluyong,EDSA SHAW,14.581153,121.053565,SB,ACCIDENT,1.0,BUS AND L300
2018-08-28 6:30 AM,Pasig City,C5 LANUZA,14.577625,121.073462,SB,ACCIDENT,1.0,MC AND CAR
2018-08-28 7:32 AM,Quezon City,COMMONWEALTH PHILCOA,14.653542000000002,121.052687,WB,ACCIDENT,1.0,TAXI AND AUV
2018-08-28 7:38 AM,Mandaluyong,EDSA RELIANCE,14.576702,121.050365,SB,MULTIPLE COLLISION,2.0,3 CARS
2018-08-28 7:40 AM,Quezon City,EDSA NEW YORK,14.625695,121.048294,SB,ACCIDENT,1.0,PICK UP AND CAR
2018-08-29 7:57 AM,Mandaluyong,EDSA CENTRAL,14.57981,121.05291499999998,NB,ACCIDENT,1.0,2 BUSES
2018-08-29 8:06 AM,Quezon City,KATIPUNAN UP TOWN,14.651395,121.074415,SB,ACCIDENT,1.0,AUV AND SUV
2018-08-29 8:48 AM,Quezon City,QUEZON AVE. CORDILLERA,14.621747,121.006129,EB,ACCIDENT,1.0,CAR AND SUV
2018-08-29 9:42 AM,Mandaluyong,EDSA BONI,14.574014000000002,121.04841,SB,ACCIDENT,1.0,CAR AND SUV
2018-08-29 10:20 AM,Mandaluyong,EDSA BONI,14.574014000000002,121.04841,SB,ACCIDENT,1.0,CAR AND BUS
2018-08-29 12:49 PM,Makati City,EDSA MAGALLANES,14.540271,121.016837,SB,ACCIDENT,1.0,TAXI AND CAR
2018-08-29 12:49 PM,Quezon City,KATIPUNAN MIRIAM,14.644291,121.074626,NB,ACCIDENT,1.0,TRUCK AND CAR
2018-08-29 1:45 PM,Quezon City,QUEZON AVE. 4TH ST.,14.639791,121.030374,WB,ACCIDENT,1.0,2 CARS
2018-08-29 2:29 PM,Quezon City,COMMONWEALTH TANDANG SORA,14.66371,121.068008,EB,ACCIDENT,1.0,2-MOTORCYCLES
2018-08-29 3:05 PM,Kalookan City,EDSA GENERAL TINIO,14.657217,120.990164,NB,ACCIDENT,1.0,MC AND CAR
2018-08-29 3:30 PM,Quezon City,EDSA SANTOLAN MRT,14.609768,121.055583,SB,ACCIDENT,1.0,SUV AND CAR
2018-08-29 4:53 PM,Quezon City,COMMONWEALTH TANDANG SORA,14.66371,121.068008,EB,ACCIDENT,1.0,2 SUV
2018-08-29 5:11 PM,Quezon City,QUEZON AVENUE ARANETA,14.628351,121.013365,WB,ACCIDENT,1.0,2 CAR
2018-08-29 6:21 PM,Quezon City,COMMONWEALTH NEW ERA CENTRAL,14.662621,121.0664,WB,ACCIDENT,1.0,MOTORCYCLE AND TRICYCLE
2018-08-29 6:31 PM,Quezon City,C5 KATIPUNAN AVENUE. C.P. GARCIA,14.648274,121.074353,SB,ACCIDENT,1.0,AUV AND SUV
2018-08-29 6:44 PM,Quezon City,EDSA SANTOLAN MRT,14.609768,121.055583,NB,ACCIDENT,1.0,CAR AND TAXI
2018-08-29 8:05 PM,Quezon City,EDSA SM NORTH,14.662621,121.0664,NB,ACCIDENT,1.0,2 BUSES
2018-08-29 8:12 PM,Makati City,C5 MCKINLEY,14.54081,121.055331,SB,ACCIDENT,1.0,2 CARS
2018-08-29 8:40 PM,Quezon City,NORTH AVENUE MINDANAO AVENUEE,14.654392,121.035159,EB,ACCIDENT,1.0,PUJ AND UV EXPRESS
2018-08-29 9:01 PM,Manila,ROXAS BLVD. QUIRINO AVE.,14.564343,120.984942,NB,ACCIDENT,1.0,MOTORCYCLE AND PEDESTRIAN
2018-08-29 9:01 PM,Quezon City,MINDANAO AVENUE SAUYO,14.68552,121.031821,NB,ACCIDENT,1.0,AUV AND CLOSED VAN
2018-08-29 11:12 PM,Makati City,EDSA GUADALUPE,14.566348,121.045356,SB,ACCIDENT,1.0,AUV AND TRICYCLE
2018-08-29 4:55 AM,Mandaluyong,EDSA MEGAMALL,14.584488,121.055562,NB,ACCIDENT,1.0,BUS AND AUV
2018-08-29 6:40 AM,Makati City,EDSA BUENDIA,14.554949,121.034967,SB,ACCIDENT,1.0,2 CARS
2018-08-29 6:50 AM,Pasig City,C5 JULIA VARGAS,14.582681,121.076837,NB,ACCIDENT,1.0,L300 AND CAR
2018-08-29 7:07 AM,Quezon City,EDSA MONTE DE PIEDAD,14.62385,121.049123,SB,ACCIDENT,1.0,2 BUSES
2018-08-29 7:24 AM,Quezon City,KATIPUNAN B. SERRANO,14.61474,121.070685,WB,ACCIDENT,1.0,PUJ AND AUV
2018-08-30 9:00 AM,Quezon City,QUEZON AVE. TIMOG,14.637123999999998,121.02608,EB,ACCIDENT,1.0,TRICYCLE AND AUV
2018-08-30 9:15 AM,Quezon City,EDSA P. TUAZON TUNNEL,14.616404,121.052548,SB,ACCIDENT,1.0,2 CARS
2018-08-30 9:40 AM,Quezon City,EDSA CONNECTICUT,14.6017,121.059252,SB,ACCIDENT,1.0,2 CARS
2018-08-30 10:17 AM,Makati City,EDSA MAGALLANES,14.540271,121.016837,SB,ACCIDENT,1.0,CAR AND SUV
2018-08-30 10:31 AM,Mandaluyong,EDSA MRT ORTIGAS,14.586681,121.056314,NB,ACCIDENT,1.0,2 CARS
2018-08-30 10:42 AM,Quezon City,EAST AVE. LTO,14.635895,121.045718,EB,ACCIDENT,1.0,CAR AND VAN
2018-08-30 11:20 AM,Pasig City,ORTIGAS EMERALD,14.586343,121.061481,WB,MULTIPLE COLLISION,2.0,2 MC AND TAXI
2018-08-30 11:35 AM,Quezon City,EDSA CRAME,14.609809,121.055526,SB,ACCIDENT,1.0,SUV AND PICK UP
2018-08-30 12:21 PM,Quezon City,NORTH AVE. MINDANAO,14.654565,121.035178,EB,ACCIDENT,1.0,CAR AND UV EXPRESS
2018-08-30 12:47 PM,Mandaluyong,EDSA MRT ORTIGAS,14.586681,121.056314,SB,ACCIDENT,1.0,SUV AND TAXI
2018-08-30 12:48 PM,Makati City,C5 SM AURA,14.546139000000002,121.055432,NB,ACCIDENT,1.0,TRUCK AND CAR
2018-08-30 2:44 PM,Quezon City,AURORA KATIPUNAN,14.631692,121.074217,WB,ACCIDENT,1.0,CAR AND TRUCK
2018-08-30 4:15 PM,Quezon City,COMMONWEALTH SHOPWISE,14.676778,121.082556,WB,ACCIDENT,2.0,TAXI AND PUJ
2018-08-30 4:15 PM,Quezon City,COMMONWEALTH SHOPWISE,14.676778,121.082556,WB,ACCIDENT,2.0,TAXI AND PUJ
2018-08-30 6:33 PM,Pasay City,NICHOLS SALES ROTONDA,14.523696,121.026142,WB,ACCIDENT,1.0,MOTORCYCLE AND CAR
2018-08-30 7:14 PM,Quezon City,COMMONWEALTH ST. PETER,14.681615,121.084757,EB,ACCIDENT,1.0,2 CARS
2018-08-30 8:13 PM,Quezon City,C5 LIBIS,14.603015,121.079256,NB,ACCIDENT,2.0,CAR AND DELIVERY VAN
2018-08-30 8:21 PM,Makati City,EDSA AYALA TUNNEL,14.550028,121.029058,NB,ACCIDENT,1.0,2 CARS
2018-08-30 9:20 PM,Mandaluyong,EDSA ORTIGAS,14.586681,121.056314,SB,ACCIDENT,1.0,CAR AND SUV
2018-08-30 10:47 PM,Makati City,EDSA EVANGELISTA,14.538985999999998,121.012638,SB,ACCIDENT,1.0,PICK-UP AND TRUCK
2018-08-30 12:21 AM,Quezon City,C5 GREENMEADOWS,14.601442,121.079351,NB,ACCIDENT,1.0,TRUCK AND CAR
